,REF_NO,children,age_band,status,occupation,home_status,family_income,TVarea,Average.Credit.Card.Transaction,Balance.Transfer,Term.Deposit,Life.Insurance,Medical.Insurance,Average.A.C.Balance,Personal.Loan,Home.Loan,Online.Purchase.Amount,gender,region,Portfolio.Balance
18,5135,2,36-40,Partner,Secretarial/Admin,Own Home,"<25,000, >=22,500",Granada,93.46,0.0,0.0,0.0,29.98,0.0,0.0,0.0,0.0,Female,North West,37.57
19,853,0,51-55,Partner,Secretarial/Admin,Own Home,"<30,000, >=27,500",Anglia,0.0,60.49,0.0,0.0,0.0,7.49,0.0,0.0,0.0,Female,East Anglia,2.13
20,7625,1,26-30,Partner,Secretarial/Admin,Own Home,">=35,000",Carlton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Female,North West,-19.21
21,4466,1,41-45,Divorced/Separated,Professional,Own Home,"<25,000, >=22,500",Granada,0.0,0.0,0.0,0.0,0.0,19.98,0.0,19.44,0.0,Female,North West,40.82
22,9630,1,55-60,Partner,Professional,Own Home,">=35,000",Anglia,106.43,25.99,79.97,128.44,71.45,92.47,4.49,4.38,30.0,Female,East Anglia,210.79
23,1738,0,65-70,Widowed,Retired,Own Home,"< 4,000",Granada,0.0,9.48,0.0,44.97,0.0,59.47,0.0,0.0,0.0,Female,North West,-13.34
24,4014,2,26-30,Partner,Other,Own Home,"<25,000, >=22,500",Carlton,0.0,24.96,44.99,11.47,0.0,3.49,0.0,0.0,0.0,Female,South East,91.96
25,5632,0,45-50,Partner,Secretarial/Admin,Own Home,">=35,000",Carlton,53.46,19.99,24.99,19.48,16.47,9.97,0.0,0.0,0.0,Female,South East,71.15
26,1724,2,51-55,Partner,Business Manager,Own Home,"<27,500, >=25,000",Granada,0.0,22.97,43.45,46.98,31.98,92.39,6.99,9.98,0.0,Male,North West,67.41
27,4123,3,31-35,Partner,Other,Own Home,">=35,000",Ulster,0.0,0.0,0.0,25.99,0.0,54.39,0.0,0.0,0.0,Female,Northern Ireland,87.36
28,11056,1,31-35,Partner,Housewife,Rent Privately,">=35,000",Anglia,0.0,55.53,20.49,19.45,44.44,26.04,24.97,0.0,0.0,Female,South East,70.55
29,1529,0,51-55,Partner,Business Manager,Own Home,"<25,000, >=22,500",Carlton,7.49,29.48,23.48,23.47,0.0,68.41,53.43,0.0,0.0,Male,North West,84.67
30,118,0,51-55,Partner,Retired,Own Home,"<20,000, >=17,500",Granada,240.44,0.0,0.0,0.0,12.97,34.99,0.0,0.0,0.0,Male,North West,102.57
31,1900,0,55-60,Partner,Retired,Own Home,"<20,000, >=17,500",Anglia,0.0,174.49,0.0,7.99,61.15,39.45,0.0,0.0,0.0,Male,East Anglia,72.82
32,9317,1,26-30,Partner,Secretarial/Admin,Own Home,"<30,000, >=27,500",Carlton,0.0,17.98,0.0,0.0,19.98,0.0,16.0,0.0,0.0,Female,South East,3.34
33,9977,0,41-45,Single/Never Married,Secretarial/Admin,Own Home,"<22,500, >=20,000",Scottish TV,0.0,29.99,59.48,15.47,0.0,28.49,13.49,0.0,0.0,Male,Scotland,8.01
34,5914,0,55-60,Partner,Housewife,Own Home,"<30,000, >=27,500",Meridian,39.98,39.96,150.92,223.85,265.84,75.92,0.0,0.0,0.0,Female,North West,209.21
35,7216,1,45-50,Partner,Secretarial/Admin,Own Home,">=35,000",Central,23.97,55.97,79.93,87.42,71.92,37.91,223.71,9.97,35.43,Female,West Midlands,223.44
36,9702,2,41-45,Partner,Business Manager,Own Home,"<25,000, >=22,500",Yorkshire,0.0,64.48,52.48,68.46,100.42,24.99,0.0,0.0,0.0,Female,East Midlands,107.56
37,3297,0,41-45,Partner,Retired,Own Home,"<30,000, >=27,500",Anglia,0.0,0.0,32.97,1.03,19.48,11.49,120.03,0.0,0.0,Female,South East,17.56
38,7670,1,41-45,Partner,Professional,Own Home,">=35,000",Granada,34.49,34.98,0.0,153.39,25.48,40.45,6.99,0.0,0.0,Female,North West,45.66
39,1736,0,55-60,Partner,Retired,Own Home,"<22,500, >=20,000",Granada,0.0,26.48,0.0,178.9,0.0,0.0,0.0,0.0,0.0,Male,North West,106.18
40,11262,1,41-45,Partner,Other,Own Home,"<20,000, >=17,500",Yorkshire,0.0,0.0,0.0,17.98,0.0,6.98,0.0,0.0,0.0,Female,East Midlands,47.72
41,3439,2,26-30,Partner,Housewife,Own Home,"<30,000, >=27,500",Central,272.45,241.34,44.48,495.66,44.47,87.92,13.99,4.49,499.86,Female,West Midlands,428.51
42,1323,1,22-25,Partner,Secretarial/Admin,Own Home,"<30,000, >=27,500",Central,0.0,0.0,0.0,69.96,0.0,0.0,6.49,0.0,0.0,Female,East Midlands,75.75
43,1882,0,51-55,Partner,Professional,Own Home,"<30,000, >=27,500",HTV,0.0,38.98,0.0,0.0,0.0,63.47,0.0,0.0,0.0,Female,Wales,77.35
44,10819,0,61-65,Partner,Housewife,Own Home,"<12,500, >=10,000",Carlton,0.0,0.0,68.45,0.0,34.49,0.0,0.0,0.0,0.0,Female,South East,-1.9
45,9133,2,36-40,Partner,Other,Own Home,"<12,500, >=10,000",Border,34.99,76.47,74.46,84.43,24.98,124.42,0.0,25.95,1.99,Female,North,164.44
46,11175,0,41-45,Single/Never Married,Other,Own Home,"<15,000, >=12,500",Yorkshire,0.0,0.0,0.0,14.99,0.0,0.0,0.0,0.0,0.0,Male,South East,27.11
47,4024,0,65-70,Widowed,Retired,Own Home,"<30,000, >=27,500",Central,264.41,263.89,448.33,228.87,140.37,114.42,0.0,16.46,0.0,Female,North West,396.1
48,5765,1,26-30,Partner,Professional,Own Home,"<25,000, >=22,500",Anglia,254.46,0.0,0.0,0.0,35.05,63.46,24.48,0.0,279.99,Female,East Anglia,105.29
49,9303,0,18-21,Single/Never Married,Other,Own Home,"<25,000, >=22,500",Anglia,35.48,0.0,0.0,0.0,4.99,14.99,7.99,0.0,0.0,Female,East Anglia,-11.21
50,80,0,26-30,Partner,Business Manager,Own Home,">=35,000",Central,0.0,0.0,0.0,13.99,0.0,0.0,0.0,5.73,0.0,Female,East Midlands,25.87
51,165,0,71+,Partner,Retired,Own Home,"<15,000, >=12,500",Yorkshire,99.45,53.46,159.42,118.37,59.48,39.97,0.0,0.0,0.0,Female,South East,102.8
52,7849,0,45-50,Partner,Housewife,Own Home,"<20,000, >=17,500",Central,60.96,139.45,0.0,73.97,34.43,82.93,0.0,7.97,0.0,Female,South East,174.02
53,10652,0,26-30,Single/Never Married,Professional,Own Home,"<20,000, >=17,500",Central,0.0,159.96,0.0,170.42,0.0,80.44,82.92,23.94,6.49,Female,East Midlands,252.55
54,3183,2,36-40,Partner,Housewife,Own Home,"<22,500, >=20,000",Central,0.0,0.0,0.0,23.49,0.0,0.01,6.87,23.94,0.0,Male,West Midlands,35.44
55,9315,0,55-60,Partner,Retired,Own Home,"<25,000, >=22,500",Meridian,0.0,0.0,31.49,88.44,150.94,4.99,0.0,0.0,0.0,Female,South East,51.9
56,9021,0,55-60,Divorced/Separated,Retired,Own Home,"<20,000, >=17,500",Meridian,34.99,43.48,59.99,106.92,74.97,16.96,0.0,0.0,0.0,Male,North West,132.17
57,11322,0,55-60,Partner,Retired,Own Home,"<12,500, >=10,000",Meridian,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,Female,North West,22.93
58,7043,0,41-45,Partner,Professional,Own Home,">=35,000",Yorkshire,174.46,0.01,37.48,48.97,28.06,59.93,0.0,15.93,154.9,Female,South East,122.98
59,8146,0,41-45,Partner,Professional,Own Home,">=35,000",Tyne Tees,0.0,55.47,0.0,33.45,0.0,28.96,4.99,0.0,0.0,Male,North,48.88
60,8837,1,36-40,Partner,Professional,Own Home,">=35,000",Yorkshire,0.0,0.0,0.0,0.0,0.0,0.0,68.97,0.0,0.0,Female,East Midlands,-21.94
61,10163,1,36-40,Partner,Manual Worker,Own Home,"<10,000, >= 8,000",Carlton,0.0,95.46,19.99,86.97,0.0,19.94,0.0,1.99,0.0,Female,South East,84.8
62,7172,0,55-60,Divorced/Separated,Professional,Own Home,"<27,500, >=25,000",HTV,22.98,45.98,0.0,114.43,9.99,0.0,25.48,0.0,0.0,Male,South West,99.1
63,3002,0,51-55,Partner,Professional,Own Home,"<10,000, >= 8,000",Granada,0.0,74.48,0.0,62.96,0.0,3.98,0.0,2.79,28.47,Female,North West,43.31
64,9831,0,51-55,Partner,Housewife,Own Home,"<27,500, >=25,000",Central,0.02,29.98,17.99,59.46,26.46,17.99,0.0,9.99,31.47,Female,South West,30.69
65,5030,1,45-50,Partner,Professional,Own Home,">=35,000",Tyne Tees,0.0,94.96,0.0,89.48,7.99,7.48,14.49,9.97,0.0,Female,North,48.9
66,4452,0,71+,Partner,Retired,Own Home,"<12,500, >=10,000",Meridian,0.0,44.98,0.0,21.99,0.0,0.0,0.0,0.0,0.0,Male,South East,20.91
67,5299,0,55-60,Partner,Professional,Own Home,"<17,500, >=15,000",Yorkshire,24.99,0.0,115.44,0.0,0.0,0.0,0.0,0.0,0.0,Female,South East,75.65
68,2516,2,26-30,Partner,Manual Worker,Own Home,"<27,500, >=25,000",Scottish TV,0.0,307.88,24.49,166.42,137.95,157.43,185.35,35.92,432.34,Female,Scotland,425.94
69,749,0,36-40,Divorced/Separated,Professional,Own Home,"<30,000, >=27,500",Carlton,127.45,0.01,60.0,20.98,0.0,61.93,0.0,0.0,88.54,Male,South East,60.55
70,3182,0,26-30,Partner,Professional,Own Home,">=35,000",Central,44.99,220.95,0.0,108.46,62.46,69.96,103.4,0.0,0.0,Male,East Midlands,200.22
71,3574,0,41-45,Partner,Professional,Own Home,"<30,000, >=27,500",Anglia,0.0,0.0,0.0,128.93,0.0,69.44,0.0,23.97,0.0,Male,North West,51.92
72,479,0,31-35,Partner,Housewife,Own Home,"<30,000, >=27,500",TV South West,34.97,77.96,59.97,205.39,9.48,122.85,35.96,5.72,0.0,Female,South West,114.05
73,2130,0,36-40,Partner,Secretarial/Admin,Own Home,"<30,000, >=27,500",Scottish TV,0.0,0.0,0.0,315.35,0.0,6.98,0.0,0.0,0.0,Female,Scotland,124.02
74,2115,1,41-45,Partner,Professional,Own Home,">=35,000",Granada,18.48,0.0,54.97,34.98,7.99,51.47,15.99,0.0,19.48,Female,North West,37.27
75,8665,1,26-30,Partner,Secretarial/Admin,Own Home,"< 8,000, >= 4,000",Grampian,0.0,14.48,74.48,13.99,9.48,44.98,25.96,9.99,7.47,Female,Scotland,111.72
76,3319,0,36-40,Partner,Secretarial/Admin,Own Home,"<27,500, >=25,000",Central,54.98,0.0,0.01,96.93,0.0,32.98,0.0,0.0,0.0,Female,East Midlands,80.79
77,9917,0,65-70,Partner,Retired,Own Home,"<12,500, >=10,000",Central,0.0,49.48,0.0,0.01,0.0,0.0,0.0,0.0,75.95,Male,West Midlands,70.24
78,4610,0,61-65,Partner,Retired,Own Home,"<12,500, >=10,000",Anglia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Female,East Anglia,2.71
79,6560,2,31-35,Partner,Secretarial/Admin,Own Home,">=35,000",Granada,15.99,0.0,0.0,108.45,0.0,0.0,0.0,39.34,0.0,Female,North West,56.53
80,4028,1,41-45,Partner,Housewife,Own Home,"<30,000, >=27,500",Meridian,200.86,167.94,327.84,262.86,134.65,126.4,95.95,37.43,72.95,Female,South East,522.86
81,7691,2,36-40,Partner,Secretarial/Admin,Own Home,"<10,000, >= 8,000",Meridian,0.0,124.98,0.0,20.99,0.0,0.01,0.0,0.0,0.0,Male,South East,25.16
82,281,1,31-35,Partner,Professional,Own Home,"<25,000, >=22,500",Yorkshire,0.0,24.97,0.0,8.45,13.48,7.99,0.0,6.49,0.0,Female,South East,24.22
83,4589,0,65-70,Divorced/Separated,Retired,Own Home,"<17,500, >=15,000",Carlton,0.0,0.0,0.0,0.0,0.0,0.0,131.89,0.0,0.0,Female,South East,85.78
84,2299,1,61-65,Partner,Retired,Own Home,">=35,000",Granada,0.0,25.99,0.0,52.95,14.98,0.0,0.0,0.0,0.0,Female,North West,3.36
85,9786,0,61-65,Single/Never Married,Retired,Rent from Council/HA,"<10,000, >= 8,000",Granada,98.97,179.46,79.47,112.93,114.88,0.0,0.0,0.0,15.98,Male,North West,154.23
86,11096,1,22-25,Partner,Housewife,Own Home,"<25,000, >=22,500",Yorkshire,0.0,29.98,0.0,21.49,4.99,0.0,23.48,0.0,0.0,Female,East Midlands,39.98
87,3720,1,41-45,Partner,Professional,Own Home,"<30,000, >=27,500",Meridian,0.0,0.0,19.49,0.0,0.0,0.0,53.48,0.0,0.0,Male,South East,15.83
88,8396,3,36-40,Partner,Professional,Own Home,">=35,000",Anglia,0.0,96.96,0.0,222.35,0.0,138.41,0.0,50.93,4.97,Female,North West,212.68
89,3897,0,45-50,Partner,Secretarial/Admin,Own Home,"<22,500, >=20,000",Tyne Tees,0.0,0.0,0.0,23.49,0.0,0.0,0.0,0.0,0.0,Female,North,6.46
90,11150,2,41-45,Partner,Professional,Own Home,"<25,000, >=22,500",Granada,0.0,113.96,0.0,48.47,0.0,2.99,17.99,0.0,0.0,Female,North West,42.66
91,4545,1,41-45,Partner,Other,Own Home,"<20,000, >=17,500",Yorkshire,0.0,19.49,0.0,49.98,0.0,0.0,33.48,6.24,0.0,Female,South East,58.55
92,4351,0,22-25,Single/Never Married,Professional,Own Home,"<30,000, >=27,500",Yorkshire,0.0,0.0,0.0,24.99,0.0,0.0,0.0,0.0,0.0,Female,East Midlands,92.63
93,6406,1,51-55,Partner,Business Manager,Own Home,">=35,000",Yorkshire,19.99,0.0,0.0,0.0,0.0,7.98,13.09,0.0,0.0,Female,South East,64.72
94,5312,0,61-65,Partner,Retired,Own Home,"<20,000, >=17,500",Tyne Tees,0.0,24.49,0.0,47.96,0.0,0.0,0.0,0.0,0.0,Female,North,31.18
95,2261,0,55-60,Divorced/Separated,Professional,Own Home,"<12,500, >=10,000",Carlton,0.0,0.0,0.0,0.0,0.0,0.0,4.99,0.0,0.0,Female,North West,23.66
96,4893,1,31-35,Divorced/Separated,Professional,Own Home,">=35,000",Meridian,0.0,58.97,14.99,82.46,72.93,84.91,203.29,19.95,0.0,Female,South East,176.87
97,1063,0,51-55,Partner,Other,Own Home,"<22,500, >=20,000",Anglia,39.98,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Female,South East,15.88
98,1319,0,26-30,Partner,Business Manager,Own Home,">=35,000",Ulster,4.99,0.0,0.0,0.0,0.0,23.95,0.0,0.0,0.0,Female,Northern Ireland,48.07
99,5041,0,51-55,Partner,Retired,Own Home,"<17,500, >=15,000",Yorkshire,51.48,210.37,52.47,418.93,0.0,125.37,0.0,3.49,64.97,Male,South East,343.12
100,2307,0,45-50,Single/Never Married,Secretarial/Admin,Own Home,"<30,000, >=27,500",Carlton,0.0,25.99,0.0,235.42,0.0,131.44,19.96,39.95,19.99,Female,South East,151.68
101,4898,1,45-50,Partner,Other,Own Home,"<22,500, >=20,000",Meridian,0.0,183.43,41.48,23.98,10.68,24.99,72.91,3.98,0.0,Female,North West,106.63
102,11179,1,55-60,Partner,Professional,Own Home,">=35,000",Anglia,0.0,19.99,0.0,135.44,19.97,10.47,22.97,0.0,4.49,Male,East Anglia,142.38
103,9460,1,31-35,Partner,Secretarial/Admin,Own Home,"<27,500, >=25,000",Tyne Tees,101.95,39.99,241.9,85.45,107.94,20.44,28.47,14.98,0.0,Female,North,225.92
104,3299,0,36-40,Partner,Business Manager,Own Home,">=35,000",Granada,46.98,67.9,241.87,125.81,57.94,53.44,0.0,0.0,11.49,Female,North West,175.02
105,6804,0,45-50,Partner,Professional,Own Home,"<27,500, >=25,000",Central,0.0,34.99,29.99,0.0,9.99,0.0,8.99,0.0,31.49,Female,North West,60.73
106,10255,0,41-45,Single/Never Married,Secretarial/Admin,Own Home,"<20,000, >=17,500",Carlton,0.0,68.46,0.0,210.41,0.0,41.95,13.99,13.48,0.0,Female,North West,192.08
107,5185,0,61-65,Partner,Retired,Own Home,"<20,000, >=17,500",Granada,0.0,0.0,0.0,0.0,12.48,0.0,0.0,0.0,0.0,Female,North West,-34.44
108,1689,0,26-30,Partner,Professional,Own Home,">=35,000",Meridian,0.0,42.98,0.0,14.49,0.0,14.99,0.0,0.0,0.0,Female,North West,35.3
109,1475,0,45-50,Single/Never Married,Secretarial/Admin,Own Home,">=35,000",Carlton,39.48,29.99,118.96,119.95,4.99,62.96,0.0,0.0,0.0,Female,North West,125.87
110,276,0,55-60,Partner,Retired,Own Home,"<27,500, >=25,000",Yorkshire,19.99,125.45,92.96,161.9,78.46,6.48,0.0,4.99,0.0,Female,South East,207.55
111,8413,2,36-40,Partner,Other,Own Home,">=35,000",Central,37.48,0.01,0.0,0.0,0.0,0.0,122.87,34.46,39.97,Female,West Midlands,93.3
112,4267,0,71+,Widowed,Housewife,Rent from Council/HA,"< 4,000",Grampian,0.0,22.99,0.0,0.0,25.94,17.49,0.0,0.0,9.49,Female,Scotland,-66.13
113,6556,1,45-50,Partner,Other,Own Home,"<20,000, >=17,500",Central,0.0,0.0,0.0,0.0,7.99,0.0,0.0,0.0,13.47,Female,East Midlands,54.91
114,9410,0,45-50,Partner,Professional,Own Home,"< 8,000, >= 4,000",Anglia,39.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Female,South East,6.15
115,9281,2,31-35,Partner,Housewife,Own Home,"<17,500, >=15,000",Anglia,0.0,17.98,0.0,54.99,0.0,23.94,21.98,0.0,0.0,Female,East Anglia,69.4
116,9936,1,41-45,Partner,Professional,Rent Privately,">=35,000",HTV,54.96,225.93,0.01,97.45,0.0,97.41,4.99,26.43,5.59,Female,South West,108.33
117,1261,2,31-35,Partner,Secretarial/Admin,Own Home,"<27,500, >=25,000",TV South West,0.0,0.0,0.0,0.0,15.99,0.0,0.0,0.0,0.0,Female,South West,12.56
118,10838,1,51-55,Partner,Retired,Own Home,"<22,500, >=20,000",TV South West,0.0,1.02,0.0,68.97,0.0,0.0,43.47,0.0,0.0,Male,South West,54.78
119,6489,3,31-35,Partner,Professional,Own Home,"<25,000, >=22,500",Meridian,15.98,70.96,36.97,158.88,91.9,165.73,0.0,37.64,0.0,Female,South East,265.8
120,415,0,36-40,Single/Never Married,Professional,Own Home,">=35,000",Meridian,9.99,0.0,19.99,0.0,46.98,0.0,37.47,0.0,0.0,Male,South West,57.15
121,2813,2,41-45,Partner,Professional,Own Home,">=35,000",Central,0.0,0.0,119.48,0.0,0.0,0.0,43.97,0.0,0.0,Male,West Midlands,93.46
122,11140,0,61-65,Divorced/Separated,Retired,Own Home,"< 8,000, >= 4,000",HTV,0.0,0.0,0.0,0.0,0.0,56.92,0.0,0.0,45.42,Female,Wales,64.67
123,10081,0,65-70,Divorced/Separated,Retired,Own Home,"< 8,000, >= 4,000",Meridian,0.0,24.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Female,South East,38.27
124,2762,0,41-45,Partner,Housewife,Own Home,">=35,000",Border,0.0,34.99,0.0,0.01,0.0,19.99,0.0,0.0,26.99,Female,Scotland,8.23
125,8641,0,65-70,Partner,Retired,Rent Privately,"< 8,000, >= 4,000",Yorkshire,79.97,18.48,4.49,4.99,0.0,0.0,0.0,0.0,0.0,Female,South East,-2.0
126,6412,0,41-45,Divorced/Separated,Professional,Own Home,">=35,000",Yorkshire,0.0,223.94,148.46,86.95,10.49,34.99,0.0,0.0,0.0,Male,South East,83.01
127,3501,2,41-45,Partner,Business Manager,Own Home,"<27,500, >=25,000",Anglia,76.46,34.99,0.0,120.42,0.01,64.46,19.99,0.0,271.86,Male,East Anglia,251.63
128,7907,0,22-25,Partner,Professional,Own Home,">=35,000",Meridian,0.0,19.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Female,South East,-6.59
129,3835,0,55-60,Partner,Retired,Own Home,"<20,000, >=17,500",Yorkshire,0.0,125.91,19.49,253.36,52.26,69.44,0.0,54.62,41.96,Female,South East,239.52
130,2360,0,61-65,Partner,Retired,Own Home,"<20,000, >=17,500",Carlton,183.42,0.0,54.98,0.0,152.36,0.0,0.0,0.0,36.68,Female,North West,98.9
131,10460,0,61-65,Widowed,Retired,Own Home,"<22,500, >=20,000",Yorkshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,South East,-10.55
132,254,0,61-65,Partner,Professional,Own Home,">=35,000",HTV,0.0,59.49,0.0,19.99,6.99,77.94,65.41,0.0,0.0,Male,Wales,104.14
133,10950,1,31-35,Partner,Housewife,Own Home,">=35,000",Ulster,0.0,0.0,0.0,8.99,16.97,73.48,85.45,0.0,0.0,Female,Northern Ireland,49.51
134,3612,2,45-50,Partner,Secretarial/Admin,Own Home,"<20,000, >=17,500",Meridian,0.0,65.0,0.0,9.97,0.0,0.0,0.0,29.98,0.0,Female,South East,8.1
135,7582,0,45-50,Partner,Professional,Own Home,">=35,000",Yorkshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,South East,8.14
136,6077,0,61-65,Partner,Business Manager,Own Home,"<25,000, >=22,500",Carlton,0.0,0.0,0.0,57.47,19.99,17.99,15.99,0.0,0.0,Male,South East,88.65
137,9306,0,45-50,Partner,Manual Worker,Own Home,">=35,000",Central,119.48,0.0,0.0,92.42,21.47,0.0,38.98,0.0,0.0,Female,East Midlands,63.51
138,2122,0,71+,Partner,Retired,Own Home,"< 4,000",Carlton,0.0,34.97,0.0,25.99,0.0,0.0,0.0,0.0,0.0,Male,South East,48.98
139,4551,0,71+,Single/Never Married,Retired,Own Home,"<10,000, >= 8,000",Meridian,0.0,0.0,0.0,0.0,0.0,7.99,0.0,5.48,0.0,Female,North West,-24.61
140,2039,2,26-30,Partner,Housewife,Own Home,">=35,000",Grampian,0.0,44.49,0.0,25.99,0.0,0.0,0.0,0.0,0.0,Female,Scotland,34.22
141,3270,0,65-70,Partner,Retired,Own Home,"<17,500, >=15,000",Meridian,25.48,149.98,0.0,92.45,9.99,84.98,0.0,0.0,206.83,Female,South East,137.14
142,7165,0,71+,Divorced/Separated,Retired,Rent from Council/HA,"<12,500, >=10,000",Yorkshire,0.0,0.0,0.0,41.97,0.0,3.99,0.0,3.99,0.0,Male,South East,17.82
143,3440,0,71+,Partner,Retired,Own Home,"<17,500, >=15,000",Meridian,0.0,0.0,24.99,0.0,0.0,54.98,0.0,0.0,55.44,Male,South East,54.74
144,5060,2,26-30,Partner,Manual Worker,Own Home,"<30,000, >=27,500",Ulster,0.0,52.47,0.0,13.48,24.46,48.96,0.0,0.0,74.98,Male,Northern Ireland,113.04
145,8314,2,36-40,Partner,Professional,Own Home,">=35,000",Yorkshire,0.0,0.0,0.0,5.99,0.0,48.48,0.0,0.0,0.0,Female,East Midlands,51.46
146,7602,2,36-40,Partner,Housewife,Own Home,"<27,500, >=25,000",Carlton,57.47,69.99,42.49,43.48,39.45,29.93,138.87,19.98,545.37,Female,North West,345.45
147,3563,1,55-60,Widowed,Retired,Own Home,"<17,500, >=15,000",Granada,0.0,49.97,48.98,117.44,0.0,185.84,0.0,8.49,0.0,Female,North West,104.51
148,5451,0,51-55,Partner,Retired,Own Home,"<25,000, >=22,500",Yorkshire,62.46,168.44,89.47,89.47,84.92,50.91,0.0,13.48,44.96,Female,South East,212.08
149,3332,1,71+,Widowed,Retired,Own Home,"<30,000, >=27,500",Central,71.94,0.0,0.0,34.98,44.97,0.0,76.93,0.0,0.0,Female,East Midlands,122.19
150,2083,1,55-60,Partner,Secretarial/Admin,Own Home,"<10,000, >= 8,000",Central,0.0,19.99,20.99,107.45,0.0,0.0,0.0,0.0,0.0,Female,South East,37.29
151,4115,0,26-30,Single/Never Married,Professional,Own Home,"<25,000, >=22,500",Central,0.0,0.0,0.0,15.99,0.0,0.0,0.0,0.0,0.0,Male,East Midlands,39.67
152,10262,0,55-60,Widowed,Professional,Own Home,"<25,000, >=22,500",Granada,0.0,0.0,74.47,0.0,19.98,0.0,0.0,0.0,0.0,Female,North West,45.08
153,4481,0,26-30,Single/Never Married,Secretarial/Admin,Own Home,"<15,000, >=12,500",Yorkshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Female,South East,3.16
154,8868,0,55-60,Partner,Housewife,Own Home,"<27,500, >=25,000",Meridian,0.0,0.0,0.0,0.0,0.0,0.0,10.98,0.0,0.0,Female,South East,20.55
